words,labels,contexts,pos
Když,0,Ano0,SCONJ
po,1,Ano0,ADP
představení,0,Ano0,NOUN
vyšel,0,Ano0,VERB
ven,0,Ano0,ADV
",",0,Ano0,PUNCT
byla,0,Ano0,AUX
už,0,Ano0,ADV
tma,0,Ano0,NOUN
.,0,Ano0,PUNCT
Na,1,Ano0,ADP
rohu,1,Ano0,NOUN
Spálené,0,Ano0,ADJ
ulice,0,Ano0,NOUN
uviděl,0,Ano0,VERB
dva,0,Ano0,NUM
muže,0,Ano0,NOUN
v,0,Ano0,ADP
zakrvácených,0,Ano0,ADJ
gumových,0,Ano0,ADJ
zástěrách,0,Ano0,NOUN
prodávající,0,Ano0,ADJ
kapry,0,Ano0,NOUN
",",0,Ano0,PUNCT
voda,0,Ano0,NOUN
ze,0,Ano0,ADP
žlutých,0,Ano0,ADJ
kádí,0,Ano0,NOUN
přetékala,0,Ano0,VERB
přes,0,Ano0,ADP
okraj,0,Ano0,NOUN
na,0,Ano0,ADP
chodník,0,Ano0,NOUN
",",0,Ano0,PUNCT
kde,0,Ano0,ADV
přimrzala,0,Ano0,VERB
.,0,Ano0,PUNCT
Obchody,0,Ano0,NOUN
už,0,Ano0,ADV
pomalu,1,Ano0,ADV
zavíraly,1,Ano0,VERB
",",1,Ano0,PUNCT
ale,0,Ano0,CCONJ
na,1,Ano0,ADP
Staroměstském,0,Ano0,ADJ
náměstí,0,Ano0,NOUN
bylo,0,Ano0,AUX
dosud,0,Ano0,ADV
rušno,0,Ano0,ADV
:,0,Ano0,PUNCT
vyhrávaly,0,Ano0,VERB
tu,0,Ano0,ADV
koledy,0,Ano0,NOUN
a,0,Ano0,CCONJ
pod,0,Ano0,ADP
vysokou,0,Ano0,ADJ
rozzářenou,1,Ano0,ADJ
jedlí,0,Ano0,NOUN
stála,0,Ano0,VERB
realistická,0,Ano0,ADJ
maketa,0,Ano0,NOUN
chléva,0,Ano0,NOUN
s,0,Ano0,ADP
opravdovými,0,Ano0,ADJ
",",0,Ano0,PUNCT
živými,0,Ano0,ADJ
zvířaty,0,Ano0,NOUN
",",0,Ano0,PUNCT
která,0,Ano0,DET
si,0,Ano0,PRON
kolemjdoucí,0,Ano0,ADJ
děti,0,Ano0,NOUN
mohly,0,Ano0,VERB
pohladit,0,Ano0,VERB
.,0,Ano0,PUNCT
Oskar,0,Ano0,PROPN
u,0,Ano0,ADP
jednoho,0,Ano0,NUM
z,1,Ano0,ADP
početných,0,Ano0,ADJ
stánků,0,Ano0,NOUN
vypil,0,Ano0,VERB
dva,0,Ano0,NUM
kelímky,0,Ano0,NOUN
svařeného,0,Ano0,ADJ
vína,0,Ano0,NOUN
a,0,Ano0,CCONJ
vydal,1,Ano0,VERB
se,0,Ano0,PRON
domů,0,Ano0,ADV
.,0,Ano0,PUNCT
Když,0,Ano0,SCONJ
ve,1,Ano0,ADP
své,1,Ano0,DET
čtvrti,0,Ano0,NOUN
vystupoval,0,Ano0,VERB
z,0,Ano0,ADP
tramvaje,0,Ano0,NOUN
",",0,Ano0,PUNCT
všiml,0,Ano0,VERB
si,0,Ano0,PRON
drobné,0,Ano0,ADJ
",",0,Ano0,PUNCT
nepříliš,0,Ano0,ADV
hezké,0,Ano0,ADJ
mladé,0,Ano0,ADJ
ženy,0,Ano0,NOUN
",",0,Ano0,PUNCT
