Sentence;Schema;Schema Slot;Slot Value;Pattern;Lexical Trigger;Target LM;Target CM;Source LM;Source CM;Sentence ID;Sentence DE;QUALY;Source LM DE
I will be out in the city today, feeling the vinous veinous thrust of blood, the apple-red circulation of democracy, its carnal knowledge without wisdom.;01 Health and Safety;Beneficial;democracy;circulation of [beneficial];circulation of;democracy;Democracy;circulation;Blood Stream;155764;Ich werde heute draußen in der Stadt sein und den weinigen Blutstrom spüren, den apfelroten Kreislauf der Demokratie, ihr fleischliches Wissen ohne Weisheit.;high;Kreislauf
Shutting off the supply of guns to criminals means thwarting the informal circulation of guns among the friends and associates of these men and stemming the supply obtained through theft.;01 Health and Safety;Beneficial;guns;circulation of [beneficial];circulation of;guns;Guns;circulation;Blood Stream;NA;Die Lieferung von Waffen an Kriminelle zu unterbinden bedeutet, die informelle Verbreitung von Waffen unter den Freunden und Mitarbeitern dieser Männer zu vereiteln und die durch Diebstahl erlangten Lieferungen einzudämmen.;medium;0
They forget what can happen when they allow the free flow of firearms into public places, especially forms of transportation.;01 Health and Safety;Beneficial;firearms;;flow;firearms;Guns;flow;Body of Water/Movement;2376948;Sie vergessen, was passieren kann, wenn sie den freien Fluss von Schusswaffen an öffentlichen Orten zulassen, insbesondere in Transportmitteln.;high;Fluss
In fact there was quite a steady flow of illegal guns and gun use, right up until the Japanese government increased prison sentencing for gang involvement AND for use of an illegal weapon to extremes.;01 Health and Safety;Beneficial;guns;;flow;guns;Guns;flow;Body of Water/Movement;2668576;Tatsächlich gab es einen ziemlich stetigen Strom von illegalen Waffen und Waffengebrauch, bis die japanische Regierung die Gefängnisstrafen für Bandenbeteiligung UND für den Gebrauch einer illegalen Waffe bis zum Äußersten erhöhte.;high;Strom
Most experts believe that increased criminal penalties of the kind proposed in the federal law could help play a role in stanching the flow of guns from traffickers to criminals.;01 Health and Safety;Beneficial;guns;;flow;guns;Guns;flow;Body of Water/Movement;2837550;Die meisten Experten glauben, dass höhere Strafen, wie sie im Bundesgesetz vorgeschlagen werden, dazu beitragen könnten, den Waffenfluss von Händlern zu Kriminellen einzudämmen.;high;Waffenfluss
The issue is serious enough to question the longevity or continuance of an agency so vital to the smooth flow of taxation within the United States.;01 Health and Safety;Beneficial;taxation;;flow;taxation;Taxation;flow;Body of Water/Movement;1971577;Das Problem ist ernst genug, um die Langlebigkeit oder den Fortbestand einer Behörde in Frage zu stellen, die für den reibungslosen Ablauf der Besteuerung in den Vereinigten Staaten so wichtig ist.;medium;0
"To regulate internal Jewish affairs and ensure the steady flow of taxes, the Parthian, or Arsacid, rulers (247 bceâ€“224 ce) had appointed in approximately 100 ce an exilarch, or ""head of the [Jews in] exile""--who claimed more direct Davidic descent than the Palestinian patriarch--to rule over the Jews as a quasi-prince.";01 Health and Safety;Beneficial;taxes;;flow;taxes;Taxation;flow;Body of Water/Movement;171231;Um die innerjüdischen Angelegenheiten zu regeln und den stetigen Steuerfluss sicherzustellen, hatten die parthischen oder arsakidischen Herrscher (247 v. der eine direktere davidische Abstammung behauptete als der palästinensische Patriarch – um als Quasifürst über die Juden zu herrschen.;high;Steuerfluss
There will be a much larger flow of taxes going into the governmental coffers.;01 Health and Safety;Beneficial;taxes;;flow;taxes;Taxation;flow;Body of Water/Movement;2885785;Es wird ein viel größerer Steuerfluss in die Staatskasse fließen.;high;Steuerfluss
The financial Manager prepares financial reports that reflect the financial health of the ban. along with this the Financial managers also monitor the flow of cash.;01 Health and Safety;Beneficial;cash;;flow;cash;Wealth;flow;Body of Water/Movement;130017;Der Finanzmanager erstellt Finanzberichte, die die finanzielle Gesundheit des Verbots widerspiegeln. daneben überwachen die Financial Manager auch den Geldfluss.;high;Geldfluss
Distance and Open Learning systems facilitate the transborder flow of education and educational opportunities.;01 Health and Safety;Beneficial;education;;flow;education;Wealth;flow;Body of Water/Movement;2664687;Fern- und offene Lernsysteme erleichtern den grenzüberschreitenden Fluss von Bildung und Bildungsangeboten.;high;Fluss
It is often lower than the return earned before retirement due to more conservative investment choices to help insure a steady flow of income.;01 Health and Safety;Beneficial;income;;flow;income;Wealth;flow;Body of Water/Movement;1950958;Aufgrund konservativerer Anlageentscheidungen zur Sicherung eines stetigen Einkommensflusses ist sie oft niedriger als die vor der Pensionierung erzielte Rendite.;high;Einkommensflusses
Whenever you think or say the word rosperity,a program will begin to run that will clear anything that is anchoring, supporting or creating blocks to accepting, allowing and aligning with the divine ideal flow of prosperity.;01 Health and Safety;Beneficial;prosperity;;flow;prosperity;Wealth;flow;Body of Water/Movement;3028510;Wann immer Sie das Wort Rosperity denken oder sagen, beginnt ein Programm zu laufen, das alles klärt, was verankert, unterstützt oder Blockaden schafft, um den göttlichen idealen Fluss des Wohlstands zu akzeptieren, zuzulassen und auszurichten.;high;Fluss
The smooth flow of international trade is critical to the functioning of the modern food industry.;01 Health and Safety;Beneficial;trade;;flow;trade;Wealth;flow;Body of Water/Movement;2666814;Der reibungslose Ablauf des internationalen Handels ist entscheidend für das Funktionieren der modernen Lebensmittelindustrie.;medium;0
