words,labels
Rum,0
smutně,0
pil,0
pan,0
"řiditel,",0
já,0
srkal,0
černou,0
kávu.,0
On,0
dřevěný,1
již,0
jazyk,1
"měl,",0
a,0
já,0
měl,0
těžkou,1
hlavu.,1
Čas,1
utíkal,1
a,0
"utíkal,",1
a,0
v,0
rozespalé,1
ticho,1
pan,0
řiditel,0
si,0
"naříkal,",0
že,0
se,0
mu,0
ztrácí,1
břicho.,1
A,0
stěžoval,0
si,0
v,0
slovech,0
zlých,0
na,0
nevděk,0
"obecenstva,",0
na,0
tvrdá,1
srdce,1
"hostinských,",0
na,0
hlad,0
a,0
žízeň,0
členstva.,0
„Nejlépe,0
praštit,1
uměním,1
a,0
jíti,0
oběsit,0
se!“,0
Hleděla,0
s,0
porozuměním,0
naň,0
první,0
milovnice.,0
Ta,0
pohled,0
měla,0
"truchlivý,",0
do,0
dálek,0
"roztoužený,",0
obličej,0
"dětský,",0
"bázlivý,",0
a,0
sladké,1
tělo,1
ženy.,0
Když,0
"odešla,",0
já,0
za,0
ní,0
šel,0
ve,0
sněhu,0
po,0
šlépěji.,0
Pojednou,0
jsem,0
se,0
rozsmutněl,0
pro,0
mladou,1
krásu,1
její.,0
Napsala,0
mi,0
psaní,0
srdce,1
mého,1
"paní,",1
že,0
mne,0
bude,0
milovati,0
do,0
skonání.,0
Duše,1
moje,0
klidná,1
se,0
zas,0
rozrušila.,1
Proč,0
mi,0
děláš,0
těžké,1
"srdce,",1
moje,0
milá?!,0
Jako,0
kočka,0
s,0
myší,0
se,0
mnou,0
jsi,0
si,0
"hrála,",0
o,0
lásce,0
a,0
zášti,0
stejně,0
jsi,0
mi,0
lhala.,0
Chtěl,0
jsem,0
tvoje,0
"srdce,",0
podalas,1
mi,0
kámen.,1
Zvolna,0
dohořel,1
mi,0
v,1
duši,1
bílý,1
plamen.,1
Hlava,0
má,0
je,0
"chorá,",0
a,0
tak,0
teskno,0
je,0
mně.,0
Pohádky,0
mi,0
vyprávět,0
chce,0
černá,1
země.,1
Za,0
bezesných,0
nocí,0
v,0
lampy,0
pološeře,0
šílenství,1
mi,0
dutě,0
buší,1
na,1
mé,0
dvéře.,1
Má,0
tvé,0
rudé,0
rety,0
rozevřené,0
v,0
"smíchu,",0
na,0
panenském,0
čele,1
pečeť,1
krutých,1
hříchů.,1
Má,0
tvé,0
modré,0
oči,0
dětinské,0
a,0
lhavé,0
a,0
tvé,0
zlatě,0
prozářené,1
vlasy,0
plavé.,0
Má,0
tvé,0
bílé,0
tělo,0
s,0
všemi,0
dary,1
blaha.,1
Nelítostně,0
na,0
mé,0
dveře,0
biješ,0
nahá.,0
Hlava,0
má,0
je,0
"chorá,",0
a,0
tak,0
teskno,0
je,0
mně.,0
Pohádky,0
mi,0
vyprávět,0
chce,0
černá,1
země.,1
Spatřil,0
jsem,0
portrét,0
svého,0
následníka,0
jaká,0
to,0
šťastná,0
náhoda,0
bodlo,0
to,0
jak,0
jen,0
dýka,0
pobodá,0
a,0
pálí,0
to,0
jak,0
čepel,0
v,0
břiše,0
Ale,0
tím,0
kdo,0
o,0
tobě,0
píše,0
jsem,0
já,0
můj,0
sladký,1
osude,1
Nikdo,0
víc,0
nikdy,0
nebude,0
Rád,0
věděl,0
"bych,",0
proč,0
pravě,0
nyní,0
vzkvétá,1
v,0
mé,0
duši,0
smutek,1
s,1
chladným,0
podzimem.,1
Nevím,0
"přec,",0
proč,0
bych,0
litovat,0
měl,0
"léta,",0
jež,0
nezažehlo,1
ohně,1
v,1
srdci,1
mém.,0
Večerní,0
mlha,0
lehla,1
na,0
dláždění.,0
A,0
připadá,0
mi,0
všecko,0
jako,0
"sen,",0
ty,0
"hlasy,",0
jejichž,0
zvuk,0
mi,0
známý,0
"není,",0
ty,0
cizí,0
tváře,0
v,0
záři,0
svítilen.,0
A,0
"cítím,",0
kterak,0
zvolna,0
v,0
duši,0
moji,0
nového,0
cosi,0
teskně,0
vstoupilo,1
jak,0
"vzpomínka,",0
jež,0
přesnosti,0
se,0
"bojí,",0
vzpomínka,0
na,0
"něco,",0
co,0
nebylo:,0
Na,0
něžná,0
"slova,",0
kterých,0
neslyšel,0
"jsem,",0
na,0
teplo,0
"krbu,",0
jež,0
mne,0
"nehřálo,",0
na,0
"všechno,",0
o,0
čem,0
snad,0
kdys,0
přemýšlel,0
"jsem,",0
co,0
se,0
však,0
nikdy,0
skutkem,0
nestalo.,0
Na,0
souzvuk,1
"srdcí,",1
jenž,0
mne,0
"nedojímal,",0
na,0
věrných,1
rukou,1
vřelé,1
"soužití,",1
na,0
duše,1
"klid,",1
který,0
mne,0
neobjímal,1
a,0
po,0
kterém,0
jsem,0
přestal,0
toužiti.,0
Na,0
krásu,0
"jara,",0
kterou,0
nepoznal,0
"jsem,",0
na,0
jeho,0
snů,0
a,0
touhy,0
sladký,1
"hlas,",1
na,0
mladé,0
"dívky,",0
kterým,0
nelíbal,0
jsem,0
v,0
záchvatech,0
něhy,0
"dlouhý,",0
měkký,0
vlas.,0
Je,0
večer,0
modravý,0
a,0
Petřín,1
zmrzle,0
dýchá,1
Věčně,0
žít,0
s,0
pohledem,0
upřeným,0
na,0
Prahu,0
Má,0
modrá,0
hodina,1
je,0
pokorná,1
a,0
tichá,1
Tu,0
dává,1
"naději,",1
tu,0
bere,1
odvahu,1
Tou,0
modří,0
"posedlý,",0
jež,0
nebi,1
kane,1
z,1
rány,1
Tou,0
modří,1
večerní,0
tříštěnou,1
do,1
střepů,1
Tou,0
modří,1
na,1
"křídlech,",1
co,0
roznášejí,0
vrány,0
Tou,0
modří,0
procházím,0
bosý,0
a,0
poslepu,0
Po,0
ničem,0
"netoužím,",0
jen,0
zadržet,0
tu,0
chvíli,0
Sám,0
sebe,0
za,1
slova,1
však,0
chytit,1
nemám,0
sil,0
Duše,0
je,0
na,0
dosah,0
a,0
hodina,0
se,0
chýlí,0
Den,1
padá,1
do,1
temnot,1
a,0
mne,0
tu,0
zůstavil,0
Tak,0
jako,0
tak,0
se,0
ale,0
oko,0
kalí,0
V,0
"místech,",0
kde,0
jsme,0
se,0
milovali,0
Už,0
se,0
mi,0
k,1
smrti,1
protiví,1
ve,0
svých,0
citech,0
se,0
nimrat.,0
Už,0
se,0
mi,0
k,1
smrti,1
protiví,1
bolestí,1
svou,0
se,0
šimrat.,1
Nejlépe,0
bylo,0
by,0
přetrhnout,1
všechna,0
pouta,1
a,0
"svazky,",1
minulost,0
svoji,0
"zavrhnout,",1
zříci,0
se,0
poslední,0
"lásky,",0
cynickým,0
smíchem,1
zabušit,1
v,0
marnou,0
ješitnost,1
"svoji,",0
stesk,1
svého,0
srdce,1
přehlušit,1
"bouřemi,",1
bídou,0
a,0
boji.,0
Nejlépe,0
bylo,0
by,0
vzdálit,0
se,0
a,0
nikdy,0
se,0
"nenavrátit,",0
svým,0
bližním,0
a,0
nejbližším,0
ztratit,0
"se,",0
a,0
sám,0
sobě,0
se,0
ztratit.,0
